City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hermanus,50,ZA,1575418759,51,-34.42,19.24,14.44,6.26
fallon,1,US,1575418759,60,46.84,-105.12,6.0,5.1
palmer,75,AU,1575418759,59,-34.85,139.16,18.89,4.1
mataura,52,NZ,1575418590,69,-46.19,168.86,15.56,8.05
okha,98,RU,1575418759,67,53.59,142.95,-2.28,9.65
saint-louis,32,SN,1575418759,77,16.03,-16.5,21.0,3.1
busselton,37,AU,1575418759,18,-33.64,115.35,32.22,2.79
tasiilaq,84,GL,1575418509,79,65.61,-37.64,-2.0,2.1
georgetown,40,GY,1575418759,94,6.8,-58.16,25.0,2.1
mar del plata,47,AR,1575418516,63,-46.43,-67.52,12.32,3.68
bredasdorp,91,ZA,1575418759,58,-34.53,20.04,12.0,2.1
bethel,1,US,1575418613,77,60.79,-161.76,-13.0,3.6
turayf,0,SA,1575418759,93,31.68,38.65,5.0,2.1
ushuaia,75,AR,1575418377,66,-54.81,-68.31,10.0,10.8
nuuk,75,GL,1575418759,85,64.17,-51.74,-8.0,6.2
alofi,40,NU,1575418759,66,-19.06,-169.92,29.0,6.2
vallenar,22,CL,1575418759,84,-28.58,-70.76,14.45,1.47
norman wells,90,CA,1575418760,83,65.28,-126.83,-20.0,6.7
zhangjiakou,0,CN,1575418760,76,40.77,114.88,-10.28,2.37
puerto ayora,75,EC,1575418509,65,-0.74,-90.35,25.0,5.7
khatanga,0,RU,1575418599,86,71.98,102.47,-33.05,4.51
dongying,0,CN,1575418760,32,37.43,118.67,1.83,2.82
punta arenas,75,CL,1575418760,62,-53.16,-70.91,12.0,9.8
lakatoro,55,VU,1575418760,79,-16.11,167.42,30.0,4.6
hobart,40,AU,1575418603,35,-42.88,147.33,14.0,9.8
kapaa,90,US,1575418728,74,22.08,-159.32,27.0,5.7
pevek,100,RU,1575418760,80,69.7,170.27,-14.14,2.26
namibe,61,AO,1575418760,82,-15.19,12.15,22.59,2.03
fortuna,1,US,1575418713,82,40.6,-124.16,15.0,4.6
boca do acre,83,BR,1575418761,87,-8.76,-67.39,22.74,0.92
rikitea,84,PF,1575418713,85,-23.12,-134.97,24.66,6.93
dingle,100,PH,1575418609,87,11.0,122.67,26.07,2.04
victoria,75,BN,1575418512,94,5.28,115.24,26.0,1.0
